Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
2020-04-15,ETHUSD,158.61,158.61,158.61,158.61,0.0,0.0
2020-04-14,ETHUSD,156.97,162.15,155.74,158.61,18061.58,2872210.44
2020-04-13,ETHUSD,158.56,159.51,150.12,156.97,15698.32,2416728.28
2020-04-12,ETHUSD,158.66,165.37,155.21,158.56,12877.33,2082804.05
2020-04-11,ETHUSD,158.26,161.49,154.25,158.66,13761.72,2172914.57
2020-04-10,ETHUSD,171.16,171.16,152.46,158.26,35635.43,5685082.32
2020-04-09,ETHUSD,173.48,173.48,165.33,171.16,17411.01,2961186.36
2020-04-08,ETHUSD,164.7,174.81,163.78,173.48,20071.04,3407046.49
2020-04-07,ETHUSD,171.49,176.74,162.34,164.7,46133.4,7868889.66
2020-04-06,ETHUSD,143.04,172.13,142.87,171.49,59235.58,9387070.16
2020-04-05,ETHUSD,144.73,145.8,141,143.04,7986.14,1144709.14
2020-04-04,ETHUSD,141.46,146.5,138.82,144.73,19744.24,2792318.57
2020-04-03,ETHUSD,141.56,146.87,137.85,141.46,25410.75,3627551.56
2020-04-02,ETHUSD,136,150.32,135.55,141.56,34902.18,4939600.3
2020-04-01,ETHUSD,133.42,137.33,128.93,136,18294.09,2419198.2
2020-03-31,ETHUSD,132.36,135.4,130.77,133.42,15514.29,2059448.42
2020-03-30,ETHUSD,124.5,135.56,124.09,132.36,29171.17,3849322.17
2020-03-29,ETHUSD,131.27,132,123.87,124.5,9427.22,1193206.91
2020-03-28,ETHUSD,131.79,133.45,124.7,131.27,19399.49,2498254.45
2020-03-27,ETHUSD,136.98,142.38,130,131.79,16016.63,2183286.58
2020-03-26,ETHUSD,136.35,138.91,133.53,136.98,22375.26,3029630.27
2020-03-25,ETHUSD,139.14,142.88,132.87,136.35,40918.47,5631035.95
2020-03-24,ETHUSD,136.64,144.14,133.17,139.14,62191.42,8574198.2
2020-03-23,ETHUSD,122.63,138.38,119.17,136.64,63493.15,8120852.6
2020-03-22,ETHUSD,132.46,137.35,120.82,122.63,36521.05,4693199.35
2020-03-21,ETHUSD,133.39,137.67,125.79,132.46,47898.74,6328761.29
2020-03-20,ETHUSD,136.99,153.17,115,133.39,90019.86,12459506.8
