"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","0.00"
"7/31/2015","1438300800","0.00"
"8/1/2015","1438387200","0.00"
"8/2/2015","1438473600","0.00"
"8/3/2015","1438560000","0.00"
"8/4/2015","1438646400","0.00"
"8/5/2015","1438732800","0.00"
"8/6/2015","1438819200","0.00"
"8/7/2015","1438905600","2.77"
"8/8/2015","1438992000","0.81"
"8/9/2015","1439078400","0.74"
"8/10/2015","1439164800","0.68"
"8/11/2015","1439251200","1.06"
"8/12/2015","1439337600","1.25"
"8/13/2015","1439424000","1.78"
"8/14/2015","1439510400","1.80"
"8/15/2015","1439596800","1.79"
"8/16/2015","1439683200","1.37"
"8/17/2015","1439769600","1.20"
"8/18/2015","1439856000","1.27"
"8/19/2015","1439942400","1.26"
"8/20/2015","1440028800","1.48"
"8/21/2015","1440115200","1.44"
"8/22/2015","1440201600","1.39"
"8/23/2015","1440288000","1.35"
"8/24/2015","1440374400","1.24"
"8/25/2015","1440460800","1.17"
"8/26/2015","1440547200","1.16"
"8/27/2015","1440633600","1.13"
"8/28/2015","1440720000","1.30"
"8/29/2015","1440806400","1.18"
"8/30/2015","1440892800","1.32"
"8/31/2015","1440979200","1.35"
"9/1/2015","1441065600","1.35"
"9/2/2015","1441152000","1.29"
"9/3/2015","1441238400","1.26"
"9/4/2015","1441324800","1.27"
"9/5/2015","1441411200","1.37"
"9/6/2015","1441497600","1.30"
"9/7/2015","1441584000","1.24"
"9/8/2015","1441670400","1.23"
"9/9/2015","1441756800","1.21"
"9/10/2015","1441843200","1.16"
"9/11/2015","1441929600","0.98"
"9/12/2015","1442016000","1.04"
"9/13/2015","1442102400","0.94"
"9/14/2015","1442188800","0.87"
"9/15/2015","1442275200","0.94"
"9/16/2015","1442361600","0.90"
"9/17/2015","1442448000","0.89"
"9/18/2015","1442534400","0.85"
"9/19/2015","1442620800","0.89"
"9/20/2015","1442707200","0.94"
"9/21/2015","1442793600","0.90"
"9/22/2015","1442880000","0.90"
"9/23/2015","1442966400","0.90"
"9/24/2015","1443052800","0.81"
"9/25/2015","1443139200","0.74"
"9/26/2015","1443225600","0.78"
"9/27/2015","1443312000","0.72"
"9/28/2015","1443398400","0.59"
"9/29/2015","1443484800","0.68"
"9/30/2015","1443571200","0.72"
"10/1/2015","1443657600","0.68"
"10/2/2015","1443744000","0.68"
"10/3/2015","1443830400","0.69"
"10/4/2015","1443916800","0.67"
"10/5/2015","1444003200","0.63"
"10/6/2015","1444089600","0.66"
"10/7/2015","1444176000","0.61"
"10/8/2015","1444262400","0.62"
"10/9/2015","1444348800","0.65"
"10/10/2015","1444435200","0.63"
"10/11/2015","1444521600","0.63"
"10/12/2015","1444608000","0.63"
"10/13/2015","1444694400","0.60"
"10/14/2015","1444780800","0.51"
"10/15/2015","1444867200","0.56"
"10/16/2015","1444953600","0.53"
"10/17/2015","1445040000","0.55"
"10/18/2015","1445126400","0.52"
"10/19/2015","1445212800","0.49"
"10/20/2015","1445299200","0.44"
"10/21/2015","1445385600","0.44"
"10/22/2015","1445472000","0.59"
"10/23/2015","1445558400","0.52"
"10/24/2015","1445644800","0.57"
"10/25/2015","1445731200","0.65"
"10/26/2015","1445817600","0.74"
"10/27/2015","1445904000","0.87"
"10/28/2015","1445990400","1.01"
"10/29/2015","1446076800","1.16"
"10/30/2015","1446163200","1.04"
"10/31/2015","1446249600","0.89"
"11/1/2015","1446336000","1.05"
"11/2/2015","1446422400","0.96"
"11/3/2015","1446508800","1.00"
"11/4/2015","1446595200","0.87"
"11/5/2015","1446681600","0.89"
"11/6/2015","1446768000","0.92"
"11/7/2015","1446854400","0.92"
"11/8/2015","1446940800","1.02"
"11/9/2015","1447027200","1.00"
"11/10/2015","1447113600","0.92"
"11/11/2015","1447200000","0.78"
"11/12/2015","1447286400","0.89"
"11/13/2015","1447372800","0.89"
"11/14/2015","1447459200","0.89"
"11/15/2015","1447545600","0.90"
"11/16/2015","1447632000","0.94"
"11/17/2015","1447718400","1.00"
"11/18/2015","1447804800","0.99"
"11/19/2015","1447891200","0.95"
"11/20/2015","1447977600","0.93"
"11/21/2015","1448064000","0.97"
"11/22/2015","1448150400","0.96"
"11/23/2015","1448236800","0.94"
"11/24/2015","1448323200","0.91"
"11/25/2015","1448409600","0.86"
"11/26/2015","1448496000","0.88"
"11/27/2015","1448582400","0.87"
"11/28/2015","1448668800","0.91"
"11/29/2015","1448755200","0.87"
"11/30/2015","1448841600","0.88"
"12/1/2015","1448928000","0.87"
"12/2/2015","1449014400","0.83"
"12/3/2015","1449100800","0.82"
"12/4/2015","1449187200","0.84"
"12/5/2015","1449273600","0.85"
"12/6/2015","1449360000","0.84"
"12/7/2015","1449446400","0.80"
"12/8/2015","1449532800","0.83"
"12/9/2015","1449619200","0.79"
"12/10/2015","1449705600","0.84"
"12/11/2015","1449792000","0.91"
"12/12/2015","1449878400","0.97"
"12/13/2015","1449964800","0.96"
"12/14/2015","1450051200","0.99"
"12/15/2015","1450137600","1.01"
"12/16/2015","1450224000","0.99"
"12/17/2015","1450310400","0.94"
"12/18/2015","1450396800","0.91"
"12/19/2015","1450483200","0.90"
"12/20/2015","1450569600","0.90"
"12/21/2015","1450656000","0.89"
"12/22/2015","1450742400","0.87"
"12/23/2015","1450828800","0.85"
"12/24/2015","1450915200","0.85"
"12/25/2015","1451001600","0.87"
"12/26/2015","1451088000","0.85"
"12/27/2015","1451174400","0.85"
"12/28/2015","1451260800","0.84"
"12/29/2015","1451347200","0.87"
"12/30/2015","1451433600","0.90"
"12/31/2015","1451520000","0.93"
"1/1/2016","1451606400","0.93"
"1/2/2016","1451692800","0.93"
"1/3/2016","1451779200","0.97"
"1/4/2016","1451865600","0.95"
"1/5/2016","1451952000","0.95"
"1/6/2016","1452038400","0.96"
"1/7/2016","1452124800","0.95"
"1/8/2016","1452211200","0.99"
"1/9/2016","1452297600","0.99"
"1/10/2016","1452384000","0.99"
"1/11/2016","1452470400","1.05"
"1/12/2016","1452556800","1.23"
"1/13/2016","1452643200","1.13"
"1/14/2016","1452729600","1.16"
"1/15/2016","1452816000","1.22"
"1/16/2016","1452902400","1.22"
"1/17/2016","1452988800","1.31"
"1/18/2016","1453075200","1.47"
"1/19/2016","1453161600","1.37"
"1/20/2016","1453248000","1.53"
"1/21/2016","1453334400","1.54"
"1/22/2016","1453420800","1.52"
"1/23/2016","1453507200","2.03"
"1/24/2016","1453593600","2.10"
"1/25/2016","1453680000","2.50"
"1/26/2016","1453766400","2.30"
"1/27/2016","1453852800","2.42"
"1/28/2016","1453939200","2.55"
"1/29/2016","1454025600","2.41"
"1/30/2016","1454112000","2.43"
"1/31/2016","1454198400","2.20"
"2/1/2016","1454284800","2.17"
"2/2/2016","1454371200","2.45"
"2/3/2016","1454457600","2.53"
"2/4/2016","1454544000","2.57"
"2/5/2016","1454630400","2.57"
"2/6/2016","1454716800","2.53"
"2/7/2016","1454803200","3.00"
"2/8/2016","1454889600","3.16"
"2/9/2016","1454976000","3.76"
"2/10/2016","1455062400","4.35"
"2/11/2016","1455148800","6.38"
"2/12/2016","1455235200","5.27"
"2/13/2016","1455321600","5.22"
"2/14/2016","1455408000","5.20"
"2/15/2016","1455494400","5.22"
"2/16/2016","1455580800","4.25"
"2/17/2016","1455667200","3.86"
"2/18/2016","1455753600","4.36"
"2/19/2016","1455840000","4.45"
"2/20/2016","1455926400","4.37"
"2/21/2016","1456012800","4.63"
"2/22/2016","1456099200","5.60"
"2/23/2016","1456185600","5.70"
"2/24/2016","1456272000","6.23"
"2/25/2016","1456358400","5.93"
"2/26/2016","1456444800","6.03"
"2/27/2016","1456531200","6.31"
"2/28/2016","1456617600","6.50"
"2/29/2016","1456704000","6.35"
"3/1/2016","1456790400","7.59"
"3/2/2016","1456876800","8.70"
"3/3/2016","1456963200","9.35"
"3/4/2016","1457049600","9.96"
"3/5/2016","1457136000","11.00"
"3/6/2016","1457222400","10.98"
"3/7/2016","1457308800","9.50"
"3/8/2016","1457395200","9.88"
"3/9/2016","1457481600","11.55"
"3/10/2016","1457568000","11.11"
"3/11/2016","1457654400","11.25"
"3/12/2016","1457740800","13.25"
"3/13/2016","1457827200","15.00"
"3/14/2016","1457913600","12.50"
"3/15/2016","1458000000","13.09"
"3/16/2016","1458086400","12.92"
"3/17/2016","1458172800","11.14"
"3/18/2016","1458259200","10.75"
"3/19/2016","1458345600","10.55"
"3/20/2016","1458432000","10.06"
"3/21/2016","1458518400","11.97"
"3/22/2016","1458604800","10.96"
"3/23/2016","1458691200","12.29"
"3/24/2016","1458777600","11.13"
"3/25/2016","1458864000","10.69"
"3/26/2016","1458950400","11.00"
"3/27/2016","1459036800","10.50"
"3/28/2016","1459123200","11.58"
"3/29/2016","1459209600","11.73"
"3/30/2016","1459296000","11.88"
"3/31/2016","1459382400","11.41"
"4/1/2016","1459468800","11.63"
"4/2/2016","1459555200","11.61"
"4/3/2016","1459641600","11.58"
"4/4/2016","1459728000","11.10"
"4/5/2016","1459814400","10.39"
"4/6/2016","1459900800","10.79"
"4/7/2016","1459987200","10.08"
"4/8/2016","1460073600","9.74"
"4/9/2016","1460160000","9.16"
"4/10/2016","1460246400","8.80"
"4/11/2016","1460332800","8.72"
"4/12/2016","1460419200","7.54"
"4/13/2016","1460505600","8.02"
"4/14/2016","1460592000","8.48"
"4/15/2016","1460678400","8.22"
"4/16/2016","1460764800","8.48"
"4/17/2016","1460851200","9.45"
"4/18/2016","1460937600","8.92"
"4/19/2016","1461024000","8.77"
"4/20/2016","1461110400","8.54"
"4/21/2016","1461196800","8.16"
"4/22/2016","1461283200","7.83"
"4/23/2016","1461369600","8.31"
"4/24/2016","1461456000","8.00"
"4/25/2016","1461542400","7.43"
"4/26/2016","1461628800","7.50"
"4/27/2016","1461715200","7.77"
"4/28/2016","1461801600","7.30"
"4/29/2016","1461888000","7.52"
"4/30/2016","1461974400","8.83"
"5/1/2016","1462060800","8.76"
"5/2/2016","1462147200","10.03"
"5/3/2016","1462233600","9.37"
"5/4/2016","1462320000","9.43"
"5/5/2016","1462406400","9.79"
"5/6/2016","1462492800","9.27"
"5/7/2016","1462579200","9.30"
